exp,max,med,n
0,1,0,262
1,2,0,0
2,4,0,0
3,8,0,0
4,16,0,0
5,32,0,0
6,64,0,0
7,128,0,0
8,256,237,5749
9,512,390,2579065
10,1024,769,6498381
11,2048,1537,912842
12,4096,3073,1895540
13,8192,6145,340671
14,16384,12286,209992
15,32768,24219,81866
16,65536,46795,39810
17,131072,92761,11924
18,262144,187046,8628
19,524288,368088,7983
20,1048576,891342,73349
21,2097152,1347363,56070
22,4194304,2742584,76766
23,8388608,5291763,5586
24,16777216,12385520,385
25,33554432,22491106,179
26,67108864,47899079,270
27,134217728,102290726,106
28,268435456,191920156,46
29,536870912,386749582,13
30,1073741824,788491314,29
31,2147483648,1384684456,21
32,4294967296,3008208624,17
